original_text,text,label
Thala da  Great Thala da,thala da great thala da,Positive
"Boni kapoor sir ini entha update illama ethum release panathinga sir,  intha chinna pasanga tholla thanga mudiyala","boni kapoor sir ini entha update illama ethum release panathinga sir, intha chinna pasanga tholla thanga mudiyala",Mixed_feelings
Un mansuku unna yarum asaikka mudiyathu thala,un mansuku unna yarum asaikka mudiyathu thala,Positive
Trailer ah trending list LA thedunavanga laam lyk podunga,trailer ah trending list la thedunavanga laam lyk podunga,Positive
Thala Yoda last dialogue sema mass vera leval,thala yoda last dialogue sema mass vera leval,Positive
"mugavri, kandu konten kandu konten Ajith ah meendum npkla pakalam. sema performance thala","mugavri, kandu konten kandu konten ajith ah meendum npkla pakalam. sema performance thala",Positive
Masss Maranna mass Thala  nerkonda parvai mass,masss maranna mass thala nerkonda parvai mass,Positive
6 days la 10m views dhana Waste .......vaipu ella rajq,6 days la 10m views dhana waste .......vaipu ella rajq,Positive
Waiting for 1 million likes,waiting for 1 million likes,Positive
Asai Nayagan kadhal Mannan ultimate star .,asai nayagan kadhal mannan ultimate star .,Positive
en uyire  en theivamay  en kadavulay  Thala nee pallaandu vazlga,en uyire en theivamay en kadavulay thala nee pallaandu vazlga,Positive
500 thadavaiku male nkp trailer ah parthavanga mattum oru like podunga,500 thadavaiku male nkp trailer ah parthavanga mattum oru like podunga,Positive
thannam pikkayin sikaram eppothum enga thala thaan,thannam pikkayin sikaram eppothum enga thala thaan,Positive
Thala pola varuma enga thala pola varuma  Thala pola varuma Thala pola varuma,thala pola varuma enga thala pola varuma thala pola varuma thala pola varuma,Positive
Thala yoda dialogue delivery ovvonrum sema mass Vera level  Thala you are great,thala yoda dialogue delivery ovvonrum sema mass vera level thala you are great,Positive
Condipa hit moviethanu solaravanga  ellarum oru like podunga,condipa hit moviethanu solaravanga ellarum oru like podunga,Positive
ungalal mudintha alavu niraya niraya command pannuga.,ungalal mudintha alavu niraya niraya command pannuga.,Positive
Mrg elunthathum bathroom pohama pakravanga like podathinga.. Poi velaya parunga..,mrg elunthathum bathroom pohama pakravanga like podathinga.. poi velaya parunga..,Positive
thala naala tharuu maruu malai thandi oyatutaru anga ultimate star ru,thala naala tharuu maruu malai thandi oyatutaru anga ultimate star ru,Positive
Ajith Thalathala nu irukaru nalla gummunu,ajith thalathala nu irukaru nalla gummunu,Positive
Dailyum pakkama irukka mdiyala ...Thala 🤗,dailyum pakkama irukka mdiyala ...thala 🤗,Positive
Daily intha trailer ah pakuravanga ....?,daily intha trailer ah pakuravanga ....?,Positive
neraya neraya neraya neraya neraya what a powerful voice.,neraya neraya neraya neraya neraya what a powerful voice.,Positive
Enna pa 10 m views kai mukkuthu,enna pa 10 m views kai mukkuthu,Positive
1 m likes varum solldravangaa like podungaa,1 m likes varum solldravangaa like podungaa,Positive
Climax Dialogue ku Theatres ellam Therika Pogudhu,climax dialogue ku theatres ellam therika pogudhu,Positive
Thala fanz lam yenga poniga comments low ah agudu,thala fanz lam yenga poniga comments low ah agudu,Positive
Waiting 11m views and 800k likes,waiting 11m views and 800k likes,Positive
THALA THALA THALA THALA THALA  THALA THALA  THALA THALA THALA  🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩,thala thala thala thala thala thala thala thala thala thala 🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩,Positive
Make it 1 million comment guys,make it 1 million comment guys,Positive
Thampi mayilvahanam njan  thala aleda thala edukunavan,thampi mayilvahanam njan thala aleda thala edukunavan,Negative
Thalaya jeika innoruthan poranthu varanum da ... verithanathin utchakattam da...,thalaya jeika innoruthan poranthu varanum da ... verithanathin utchakattam da...,Mixed_feelings
yuvan nengala manusana ennaaaaa adi therinkka vittinga ponga 🥰🤩,yuvan nengala manusana ennaaaaa adi therinkka vittinga ponga 🥰🤩,Positive
Morning elunthathum thalaya tharsikkiravanga like podunga,morning elunthathum thalaya tharsikkiravanga like podunga,Positive
Ipdiii Nerya nerya nerya nerya 🤘,ipdiii nerya nerya nerya nerya 🤘,Positive
Dai pink film remake ah idhu,dai pink film remake ah idhu,Positive
Trending vittu evloo kila ponaalum  Na daily papan comment la msg panuvan.,trending vittu evloo kila ponaalum na daily papan comment la msg panuvan.,Positive
Enada ithu thalai ku vantha sothana innum 10 million views aa thandala,enada ithu thalai ku vantha sothana innum 10 million views aa thandala,Positive
780k likes Waiting for 1 Million like,780k likes waiting for 1 million like,Positive
Trailer 1million like varalanu yaarellam feel panringa,trailer 1million like varalanu yaarellam feel panringa,Positive
ivanuku nadikave varathu...intha padam oduna mathiri than...en da comedy pandringa...build up kuduthu kuduthe onnum illama aakidunga...,ivanuku nadikave varathu...intha padam oduna mathiri than...en da comedy pandringa...build up kuduthu kuduthe onnum illama aakidunga...,Positive
Ummmmmmmaaa thala....... no words to say dear role model....,ummmmmmmaaa thala....... no words to say dear role model....,Positive
neraya neraya neraya neraya neraya neraya what a voice semma.,neraya neraya neraya neraya neraya neraya what a voice semma.,Positive
yeserday no 2 treanding srilanka today no 5 #thala,yeserday no 2 treanding srilanka today no 5 thala,Positive
dailum vanthu thalaya pathutu poravanga Hit like ...,dailum vanthu thalaya pathutu poravanga hit like ...,Positive
Unga nalla manasuku epayum vettri than THALA ungaluku. phinix  bird thala nenga vizhamattinga,unga nalla manasuku epayum vettri than thala ungaluku. phinix bird thala nenga vizhamattinga,Negative
Ippa 10.4 LA iruku andha 10.5 mathi vitu polama thala bloods,ippa 10.4 la iruku andha 10.5 mathi vitu polama thala bloods,Positive
6 days ah srilanka la trending 4 kulla thaan itukku,6 days ah srilanka la trending 4 kulla thaan itukku,Positive
"Kya yaar koi aur kahani nhi mili thi, already is kahani pe film pink bn chuki h","kya yaar koi aur kahani nhi mili thi, already is kahani pe film pink bn chuki h",not-Tamil
2m varanum ethachum annuga thala fans,2m varanum ethachum annuga thala fans,Positive
Thala  naa Getthu Getthu naa Thala,thala naa getthu getthu naa thala,Positive
neraya neraya neraya neraya neraya neraya Vera level .,neraya neraya neraya neraya neraya neraya vera level .,Positive
Thala ajith nerkonda paarvai awesome verra level,thala ajith nerkonda paarvai awesome verra level,Positive
Attention THALA fans ........INDHA padam BLOCK BUSTER AAguradhukkuu neega dhaan THEATer Ku poooi THALAi Ku  PERIYA flex(katout) VAIKANUMMM,attention thala fans ........indha padam block buster aaguradhukkuu neega dhaan theater ku poooi thalai ku periya flex(katout) vaikanummm,Positive
Thala fans ungalala oru mairukkum pidunga mudiyathuu,thala fans ungalala oru mairukkum pidunga mudiyathuu,Negative
Enna da dai 10 laks thala fans kuda YouTube use pannalaya...1million like varala,enna da dai 10 laks thala fans kuda youtube use pannalaya...1million like varala,Positive
Inniki 10.5 million views reach panlama pangalingala adichi thookalamaa,inniki 10.5 million views reach panlama pangalingala adichi thookalamaa,Negative
Let's make it 1 million likes..,let's make it 1 million likes..,Positive
Trending 11 la irukku adhuthu yenka irukkumo theriyala thala fans support pannukaa trending kondu vangaa plse,trending 11 la irukku adhuthu yenka irukkumo theriyala thala fans support pannukaa trending kondu vangaa plse,Positive
Thala Thala Thala Thala Naraiya Naraiya Naraiya Naraiya  Pidikkum,thala thala thala thala naraiya naraiya naraiya naraiya pidikkum,Positive
780k likes on d way,780k likes on d way,Positive
En thalaivana pola yarum illadaa en thala Rasigarkal hit like,en thalaivana pola yarum illadaa en thala rasigarkal hit like,Positive
All thala fans like pottingla ?,all thala fans like pottingla ?,Positive
"Thala king, getha vaa thala un rasikargal irukkanga","thala king, getha vaa thala un rasikargal irukkanga",Positive
Indha padathukku  dislike poduravanga Manisa jenmamay illa,indha padathukku dislike poduravanga manisa jenmamay illa,Negative
Copy ethu Remake ethunu innum pala perukku theriyave maattenguthu 🤦‍🤦‍🤦‍,copy ethu remake ethunu innum pala perukku theriyave maattenguthu 🤦‍🤦‍🤦‍,Positive
Thala Thala Tamil naatuku ore Thala🤩,thala thala tamil naatuku ore thala🤩,Positive
6 days after coming fans 6:01    PM,6 days after coming fans 6:01 pm,Positive
Thala mass dialogue u r great,thala mass dialogue u r great,Positive
Mairu ku Aamiayans 800k likes kuda vanga vakkuilla naigala,mairu ku aamiayans 800k likes kuda vanga vakkuilla naigala,Positive
neraya neraya neraya neraya neraya neraya what a powerful performance.,neraya neraya neraya neraya neraya neraya what a powerful performance.,Positive
Thala acting is intense nkp Vera level.,thala acting is intense nkp vera level.,Positive
Appadi Ellam nadakaadh... Nadakka koodathu. THALA Love from kerala,appadi ellam nadakaadh... nadakka koodathu. thala love from kerala,Positive
Unnathamana  characterukku arumaiyaka thannnudaiya unarchikalai velipaduthiya engal mr. ajith sirkku mikka nandri,unnathamana characterukku arumaiyaka thannnudaiya unarchikalai velipaduthiya engal mr. ajith sirkku mikka nandri,Positive
Like - NKP Comment - Vijay 63,like - nkp comment - vijay 63,Positive
Like - Ner konda paarvai Comment - Pink,like - ner konda paarvai comment - pink,Positive
Thala + Yuvan = Vera level,thala + yuvan = vera level,Positive
1m likes kooda oomba mudila   Fan base matter,1m likes kooda oomba mudila fan base matter,Mixed_feelings
Oru thar Mela viswasam kaddurathukka ka enni oru thaingaala eathukku Asikingaa padduthiringaa ...#Nkp,oru thar mela viswasam kaddurathukka ka enni oru thaingaala eathukku asikingaa padduthiringaa ... nkp,Mixed_feelings
i big fan of u ajith sir,i big fan of u ajith sir,Positive
தல  vera level and U1 Bgm also,தல vera level and u1 bgm also,Positive
"Citizen , Nerkonda Paarvai  Samukathuku Eatra Padam   Thalapathy Fans","citizen , nerkonda paarvai samukathuku eatra padam thalapathy fans",Mixed_feelings
Thala sonna kadaisi doigue  athu thala fanuku sonna mari irukuthu sema,thala sonna kadaisi doigue athu thala fanuku sonna mari irukuthu sema,Positive
Only one ask for you all Tala pola varuma Talada,only one ask for you all tala pola varuma talada,Positive
Thala naale thaaru maaru thaa..... ultimate star Ajith Kumar வாழ்க!,thala naale thaaru maaru thaa..... ultimate star ajith kumar வாழ்க!,Positive
"Excellent film, last dialogue vera level","excellent film, last dialogue vera level",Positive
Thala mass waiting for nerkondaparvai..  Aug 10,thala mass waiting for nerkondaparvai.. aug 10,Positive
Dislike pannunavanla trailor ku pannala thala ku pannirukkanunga,dislike pannunavanla trailor ku pannala thala ku pannirukkanunga,Mixed_feelings
Viswasam super movie next this movie thala fans like,viswasam super movie next this movie thala fans like,Positive
Hindi movie Pink remake in Tamil...,hindi movie pink remake in tamil...,Positive
Jhonvi kapoora nadikka vachurukkalam.miss you jhonvi,jhonvi kapoora nadikka vachurukkalam.miss you jhonvi,Mixed_feelings
Etha vida engaluku ena venum...ne va Thala,etha vida engaluku ena venum...ne va thala,Positive
last dialogue rasikan sollituthiriyira ella heroes fansukumdan inimelade?,last dialogue rasikan sollituthiriyira ella heroes fansukumdan inimelade?,Mixed_feelings
Yen da na comment pana mattum evanum reply panamatringa?,yen da na comment pana mattum evanum reply panamatringa?,Negative
Waiting ...ne va thala.....sila nayigal kuraikkathan seiyum,waiting ...ne va thala.....sila nayigal kuraikkathan seiyum,Mixed_feelings
orutharu mela vacha viswasathala innoruthara ye asinga paduthiringa. fight scene semmaiya irukum,orutharu mela vacha viswasathala innoruthara ye asinga paduthiringa. fight scene semmaiya irukum,Positive
Thala Fans from kerala.. Like here,thala fans from kerala.. like here,Positive
15 hours 5 million views thala maaaaaaaasssssssssssss🤣,15 hours 5 million views thala maaaaaaaasssssssssssss🤣,Positive
Thala ajith kumar Yuvan shankar raja H. Vinond Uff,thala ajith kumar yuvan shankar raja h. vinond uff,Positive
Thala niga vera level love u,thala niga vera level love u,Positive
Dislike potta mutta muthevingaluku than thalayoda last dialogue...  Oruthan mela viswasam katta innoruthara enn asinga paduthireenga,dislike potta mutta muthevingaluku than thalayoda last dialogue... oruthan mela viswasam katta innoruthara enn asinga paduthireenga,Mixed_feelings
No trending yet in Srilanka,no trending yet in srilanka,Mixed_feelings
Thala(Vinoth) neenga thirumbiyum vanthuteengala!!! Athuvum enga real THALAyoda Appo waitana treattu kaathuttu irukku engalukku,thala(vinoth) neenga thirumbiyum vanthuteengala!!! athuvum enga real thalayoda appo waitana treattu kaathuttu irukku engalukku,Mixed_feelings
To haters in Lollu sabha style : Arivu ketta eruma maadu,to haters in lollu sabha style : arivu ketta eruma maadu,Negative
#Thala mass da Padam vetri pera #Thalabathy rasiganin valthukkal,thala mass da padam vetri pera thalabathy rasiganin valthukkal,Positive
Note:Oru oru second kum oru comment varuthu,note:oru oru second kum oru comment varuthu,Positive
Oruthar mela vishvasam kaaturathikaaga innoruthara en asinga paduthuringa.. superb dialogue.. hope fans understand..,oruthar mela vishvasam kaaturathikaaga innoruthara en asinga paduthuringa.. superb dialogue.. hope fans understand..,Positive
Veengai mavan othaila nikka gotha dhillu kuthi irundha mothama vaanga daa  () ...Aaamaiz daa..,veengai mavan othaila nikka gotha dhillu kuthi irundha mothama vaanga daa () ...aaamaiz daa..,Negative
Thala always massss ayyyoooo yana acting,thala always massss ayyyoooo yana acting,Positive
Malayalam movie chinthamani kolacase njapakathukku varuth,malayalam movie chinthamani kolacase njapakathukku varuth,Mixed_feelings
"Thala fans idhu pathadhu, innum neraya neraya neraya venum!!!","thala fans idhu pathadhu, innum neraya neraya neraya venum!!!",Positive
Thala + U1 combo...vere level daa...,thala + u1 combo...vere level daa...,Positive
I am Vijay fan but I am waiting for nerkonda parvai,i am vijay fan but i am waiting for nerkonda parvai,Positive
Ellam avan seyal movie matheri iruku,ellam avan seyal movie matheri iruku,Mixed_feelings
Fight scene sema masss ah irukum,fight scene sema masss ah irukum,Positive
Thala nenga vethalam & veram maripadam yedunga thala,thala nenga vethalam & veram maripadam yedunga thala,Positive
Padam confirm big hit thala padamnale hittu dhan,padam confirm big hit thala padamnale hittu dhan,Positive
"Oruthar meala neenga viswasam katrathukaga inoruthara yen asinga paduthiringa ,,,,,,,,,puritha guys purinjavanga like panunga but sema mass","oruthar meala neenga viswasam katrathukaga inoruthara yen asinga paduthiringa ,,,,,,,,,puritha guys purinjavanga like panunga but sema mass",Mixed_feelings
Enna da mokkaya iruku  perusa yethir patha,enna da mokkaya iruku perusa yethir patha,Negative
1 million likes varumnu solravanga  podunga,1 million likes varumnu solravanga podunga,Positive
A girl says No it means no.....,a girl says no it means no.....,Positive
Declining Thala  #From Pa Ranjith fans #Karnataka,declining thala from pa ranjith fans karnataka,Positive
"Thala nee vaa thala , padam inimey yengaluthu","thala nee vaa thala , padam inimey yengaluthu",Positive
"Dei fans baadungala,indha maadhri padatha hit pannunga da,inimel aachi.","dei fans baadungala,indha maadhri padatha hit pannunga da,inimel aachi.",Mixed_feelings
Thala veriyanz only hit like,thala veriyanz only hit like,Positive
Ethooo thalai yea puthusa pakkura mathire irukuuu,ethooo thalai yea puthusa pakkura mathire irukuuu,Positive
"Idhu padam, adha vitutu viswasam,vivegam nu.","idhu padam, adha vitutu viswasam,vivegam nu.",Mixed_feelings
Unlike potavalam matamana social luku theva padatha character avanunga thalapathi fans Ila poruki fans,unlike potavalam matamana social luku theva padatha character avanunga thalapathi fans ila poruki fans,Mixed_feelings
Virgin pasanga ellam oru like ah podungo,virgin pasanga ellam oru like ah podungo,Positive
Vera level thala vera level yuvanisim,vera level thala vera level yuvanisim,Positive
Marana mass thala na thala tha,marana mass thala na thala tha,Positive
Ada paavigala Hindi PINK movie ah apdiye copy cat ah? Why did you do like this ?,ada paavigala hindi pink movie ah apdiye copy cat ah? why did you do like this ?,Mixed_feelings
Mr.vandu kort la ipdilaam kaththa kudathu,mr.vandu kort la ipdilaam kaththa kudathu,unknown_state
Vera lavel thala lawyer getap semma masss ha irukku thalaiku,vera lavel thala lawyer getap semma masss ha irukku thalaiku,Positive
Climax music kekkumpodhu appdiye goosebumps start aagudhu.... thanks Yuvan Annnnnnnnnnnnnna,climax music kekkumpodhu appdiye goosebumps start aagudhu.... thanks yuvan annnnnnnnnnnnnna,Positive
Orutharu mela neenga vishvasatha kamikaruthukaga innoruthara yen asingapadithuringa ( 50k ) dislike,orutharu mela neenga vishvasatha kamikaruthukaga innoruthara yen asingapadithuringa ( 50k ) dislike,unknown_state
Yaaahoooooo 5 million views  luv u thala fanz,yaaahoooooo 5 million views luv u thala fanz,Positive
Remake of pinkyy butt i love you both amit ji n ajith ji,remake of pinkyy butt i love you both amit ji n ajith ji,Positive
Super  thala massss mass  massss,super thala massss mass massss,Positive
Similar to Chinthamani kola case? Malayalam movie remake?,similar to chinthamani kola case? malayalam movie remake?,Mixed_feelings
Ennada ithu pakka pakka pathuttey irukkanmnu thonutu,ennada ithu pakka pakka pathuttey irukkanmnu thonutu,Positive
Onnum soltrathukku illa .... Thala Vera levalmass performance,onnum soltrathukku illa .... thala vera levalmass performance,Mixed_feelings
varanam massu varanam aadhuku thala dhan screen la varanam,varanam massu varanam aadhuku thala dhan screen la varanam,Positive
REMAKE OF HINDI MOVIE PINK . AJITH IS DOING AMITABH'S ROLE.,remake of hindi movie pink . ajith is doing amitabh's role.,Positive
24 hrs la 1M likes & 10M vivews varumnu solaravanga mattum like podunga,24 hrs la 1m likes & 10m vivews varumnu solaravanga mattum like podunga,Positive
Maranam.maasu maranam athukkula namma thala tahn screen la varanum,maranam.maasu maranam athukkula namma thala tahn screen la varanum,Positive
Waiting for #1million  like s🤩,waiting for 1million like s🤩,Positive
Pink movie ... hit in bollywood...,pink movie ... hit in bollywood...,Positive
Thala look maranam  Yuvan bgm,thala look maranam yuvan bgm,Positive
Nerkonda paarvai Mix with Viswasam BGM,nerkonda paarvai mix with viswasam bgm,Mixed_feelings
Ajith fans lam like ah norukungo.....,ajith fans lam like ah norukungo.....,Positive
All you dislikes person's last dialog for you mad people's,all you dislikes person's last dialog for you mad people's,Mixed_feelings
Mokka pundaiyaatum irukku teaser...floppu daa umbigala.,mokka pundaiyaatum irukku teaser...floppu daa umbigala.,Negative
"Nice trilar. Oruthar mela viswasam katrathukaga, mathavangala en asingam paduthuringa.","nice trilar. oruthar mela viswasam katrathukaga, mathavangala en asingam paduthuringa.",Mixed_feelings
10 times ku Mela trailer ah paathavan lam like podu 🤗🤗,10 times ku mela trailer ah paathavan lam like podu 🤗🤗,Positive
seems like pink dubbed.. but ajith sir mass,seems like pink dubbed.. but ajith sir mass,Positive
1.5M likes varumna like pannuga,1.5m likes varumna like pannuga,Positive
Thala I love u thala na romba pudikkum🤩,thala i love u thala na romba pudikkum🤩,Positive
Nerkonda paarvai mix with Kolaikaaran BGM,nerkonda paarvai mix with kolaikaaran bgm,Mixed_feelings
Tala Potta thevidiya mavanda Baduganla aamigala,tala potta thevidiya mavanda baduganla aamigala,Negative
No.1 trending....yellarum idha thana ketutu irundhinga,no.1 trending....yellarum idha thana ketutu irundhinga,Positive
KING OF KOLLYWOOD  Thala AjithKumar Is Back!!...,king of kollywood thala ajithkumar is back!!...,Positive
Vera lvl bro!..   Ajith fans hit like!!...,vera lvl bro!.. ajith fans hit like!!...,Positive
Oruthar mela viswasam kaaturatgukku innoruthara yen asinga paduthuringa...,oruthar mela viswasam kaaturatgukku innoruthara yen asinga paduthuringa...,Mixed_feelings
"Awesome performance ajith ji , Padam super hit ji , sure","awesome performance ajith ji , padam super hit ji , sure",Positive
Dis like pottha potta pasangala nigala nallave irukka mathynga by thalabathi veriyan,dis like pottha potta pasangala nigala nallave irukka mathynga by thalabathi veriyan,Negative
Thalaya classah pakka evalo nalla irukkula.....paathutey irukalam,thalaya classah pakka evalo nalla irukkula.....paathutey irukalam,Positive
Morning enthericha odane trailer pakravaga like poduga,morning enthericha odane trailer pakravaga like poduga,Positive
thala vera level in ner konda paarvai,thala vera level in ner konda paarvai,Positive
Naamattum thaan 2 dhadavaiku mela paarthena,naamattum thaan 2 dhadavaiku mela paarthena,Mixed_feelings
At least 1m likes in 24hrs,at least 1m likes in 24hrs,Positive
Amithabachan alavukku ajith ku vayasana mari kattirukkanga bullshut,amithabachan alavukku ajith ku vayasana mari kattirukkanga bullshut,Mixed_feelings
Thoongi Enthiracha vudane evlo million views nu paka vanthavanga like podunga....,thoongi enthiracha vudane evlo million views nu paka vanthavanga like podunga....,Positive
Intha padampothu thalaya asaikka kooda mudiyathu,intha padampothu thalaya asaikka kooda mudiyathu,Positive
U1 tharamana sambavam aug 10 apa papinga,u1 tharamana sambavam aug 10 apa papinga,Positive
Trailer vera vera vera vera vera vera vera vera vera vera vera vera vera vera vera vera vera level,trailer vera vera vera vera vera vera vera vera vera vera vera vera vera vera vera vera vera level,Positive
I love Akki so much,i love akki so much,unknown_state
"2,,0. Vasikaran. Wow baties Semaeami","2,,0. vasikaran. wow baties semaeami",Positive
Anils ku vairu eriuthu pola,anils ku vairu eriuthu pola,Positive
Super Shankar Sir Rajanikanth Sir All The Best Movie Team Waiting Movie From Pawankalyan Fans,super shankar sir rajanikanth sir all the best movie team waiting movie from pawankalyan fans,Positive
Hollywood padam paakaravaga endha padadha impress pannadhu ninaikukiraen,hollywood padam paakaravaga endha padadha impress pannadhu ninaikukiraen,Positive
Shankar sir ungaloda imagination Vera level.. but  CG Ok than,shankar sir ungaloda imagination vera level.. but cg ok than,Positive
Mass .... Super Star Rajini sir,mass .... super star rajini sir,Positive
Kis Kis ko vfx bekar lage like thoko,kis kis ko vfx bekar lage like thoko,Negative
Naa vanthu   malayali  enkall nattile million fans irukku rajini annaniku super trrailer,naa vanthu malayali enkall nattile million fans irukku rajini annaniku super trrailer,Negative
yennada transformers 4 padathula vara mathiri irukkum pola..(transformation),yennada transformers 4 padathula vara mathiri irukkum pola..(transformation),Negative
Super ster vera level sankar bast moves,super ster vera level sankar bast moves,Positive
1st day 1 show booked,1st day 1 show booked,Positive
hindi me kab aayega ab wait nhi ho rha h,hindi me kab aayega ab wait nhi ho rha h,not-Tamil
Vera level  Thalaiva and master Shankar,vera level thalaiva and master shankar,Positive
I was just waiting for it Wah kya baat hai bhai,i was just waiting for it wah kya baat hai bhai,not-Tamil
padam kevalama irukum.... epavum thala dhan..  .,padam kevalama irukum.... epavum thala dhan.. .,Negative
2.0 padam parka sema aarvama iruku I'm waiting for 2.0,2.0 padam parka sema aarvama iruku i'm waiting for 2.0,Negative
Jai power star pavan kalyan jai janasena,jai power star pavan kalyan jai janasena,Mixed_feelings
Hahaah.. Doremon thara ide.. motu patlu better,hahaah.. doremon thara ide.. motu patlu better,not-Tamil
i phone vs android nu ninaikiren,i phone vs android nu ninaikiren,Positive
International level ka film hai..Jisne dislike kiya hai woh Indian cinema ka dushman hai,international level ka film hai..jisne dislike kiya hai woh indian cinema ka dushman hai,not-Tamil
Wow comment padhne walo aa jao,wow comment padhne walo aa jao,Negative
awesome trailer Hollywood movie maathiri irukku,awesome trailer hollywood movie maathiri irukku,Positive
Paaaaaaaaaaaaa paaaaaaaaaaaaa paaaaaaaaaaa paaaaaaaaaaa........ woooooooooooow wooooooooooow woooooooooooooow woooooooooooow woooooooooow,paaaaaaaaaaaaa paaaaaaaaaaaaa paaaaaaaaaaa paaaaaaaaaaa........ woooooooooooow wooooooooooow woooooooooooooow woooooooooooow woooooooooow,Positive
inna da panni vechi iruking :( :( :(,inna da panni vechi iruking :( :( :(,Negative
Zero is quite better than 2.0,zero is quite better than 2.0,Mixed_feelings
Not in hindi.... Sobi don't understand.... But it is outstanding,not in hindi.... sobi don't understand.... but it is outstanding,Mixed_feelings
Pakkaa Mass.. Rajni and Akshay sema mirattal..,pakkaa mass.. rajni and akshay sema mirattal..,Negative
Teaser mokka nu kalaicha pasangalam ippo ennada soldringa. Shankar always mass,teaser mokka nu kalaicha pasangalam ippo ennada soldringa. shankar always mass,Positive
Karnataka naaye vaazhuda tamilan pootta pichayela,karnataka naaye vaazhuda tamilan pootta pichayela,Negative
shankar bhai ko salam karta hu,shankar bhai ko salam karta hu,not-Tamil
Akshay Kumar new trailer Kadak look,akshay kumar new trailer kadak look,Mixed_feelings
Which do you like? 0 0r 2.0...,which do you like? 0 0r 2.0...,Negative
Pichi peacs superb #Rajani and #Sankar like  HERE,pichi peacs superb rajani and sankar like here,Positive
Super thalaivaaaa awesome  awesome  awesome,super thalaivaaaa awesome awesome awesome,Positive
khatarnak  awesome  i  love it,khatarnak awesome i love it,Positive
Rajni turn into akki in last,rajni turn into akki in last,Positive
If u like trailer then like,if u like trailer then like,Positive
Sankar sir love yu sir  #Flimsy Media #FlimsyMedia,sankar sir love yu sir flimsy media flimsymedia,Positive
blockbuster but not as like bahubali 2,blockbuster but not as like bahubali 2,Positive
Vara level sathyamaaaaaaa.....indian cinemaaa vera level,vara level sathyamaaaaaaa.....indian cinemaaa vera level,Mixed_feelings
ಅಕ್ಷಯ್ ಕುಮಾರ್ ಅವರು ಭಾರತದ ರಿಯಲ್ ಸೂಪರ್ಸ್ಟಾರ್... ನಾನು ಅವರ ಯೂಮ್ಬ ದೊಡ್ಡ ಅಭಿಮಾನಿ..!,ಅಕ್ಷಯ್ ಕುಮಾರ್ ಅವರು ಭಾರತದ ರಿಯಲ್ ಸೂಪರ್ಸ್ಟಾರ್... ನಾನು ಅವರ ಯೂಮ್ಬ ದೊಡ್ಡ ಅಭಿಮಾನಿ..!,not-Tamil
Virat kohli fans tap here,virat kohli fans tap here,not-Tamil
Rajinikanth  and. Akshay kumar fans.    Like vesukondi  ekada,rajinikanth and. akshay kumar fans. like vesukondi ekada,not-Tamil
very hard work... waiting full movie 2.0,very hard work... waiting full movie 2.0,Positive
Shankar innu pannirukalam nu sonnavanlam  go bark where CGI sucks‍‍.. idhu namma sarkar(shankar),shankar innu pannirukalam nu sonnavanlam go bark where cgi sucks‍‍.. idhu namma sarkar(shankar),Mixed_feelings
vera level ippa pesungada mokka nu thalaivaaaaaa,vera level ippa pesungada mokka nu thalaivaaaaaa,Positive
All Set To Be On Fire,all set to be on fire,Negative
Bahubaali is dead 2.0 is killer,bahubaali is dead 2.0 is killer,not-Tamil
O.42 sec la mbl uh vachhi akahay kumar veraa level...dir shankar done massive,o.42 sec la mbl uh vachhi akahay kumar veraa level...dir shankar done massive,Positive
1.8k dislikes.. haha vairuna eriyathana seium....,1.8k dislikes.. haha vairuna eriyathana seium....,Positive
Sorry! Mr.sankar vfx ivlo kevalama irukku ithuku yean ivlo naal time eduthukitinga,sorry! mr.sankar vfx ivlo kevalama irukku ithuku yean ivlo naal time eduthukitinga,Negative
Kollywood Nahi ... Hollywood bolo ... Vera level Shankar sir .... Thalaivaaaaaaaaaaaa ... But akkis voice sounds awkward ....,kollywood nahi ... hollywood bolo ... vera level shankar sir .... thalaivaaaaaaaaaaaa ... but akkis voice sounds awkward ....,Negative
Trailer romba superaaayirikk super rajani sir   #FlimsyMedia #FlimsyMedia #FlimsyMedia,trailer romba superaaayirikk super rajani sir flimsymedia flimsymedia flimsymedia,Negative
Tamil nhi samjh aayi but Akshay tere liye kuch bhi....,tamil nhi samjh aayi but akshay tere liye kuch bhi....,not-Tamil
Bro enna bro ithu sema ge,bro enna bro ithu sema ge,not-Tamil
Shankar sir oda effort kaaga oru like pottutu poanga pa..,shankar sir oda effort kaaga oru like pottutu poanga pa..,Mixed_feelings
Twinkle twinkle little star.  Rajini is the superstar.  Dhoooollllmmmaaaaaaaa how is it. Superuuu,twinkle twinkle little star. rajini is the superstar. dhoooollllmmmaaaaaaaa how is it. superuuu,Mixed_feelings
Karumam... Indha VFX'kaga thaan ivlo naal uruvittu irundhanungala?,karumam... indha vfx'kaga thaan ivlo naal uruvittu irundhanungala?,Mixed_feelings
Mass hit 2.0. Hit like if you like Akshay's look,mass hit 2.0. hit like if you like akshay's look,Positive
Hindi me trailer kha pe h plz tell me,hindi me trailer kha pe h plz tell me,not-Tamil
Ada kodumaiyae bomma padama ithuku edhu 2.o.......kochadaiyan 2 nu vechurukalam,ada kodumaiyae bomma padama ithuku edhu 2.o.......kochadaiyan 2 nu vechurukalam,Negative
